entry_order_id,exit_order_id,entry_utc,exit_utc,entry_algorithm_time,exit_algorithm_time,quantity,entry_price,exit_price,exit_limit_price,pnl,hold_seconds,hold_minutes,signal_utc,signal_lag_seconds,signal_price,ema20,rsi14,adx14,price_minus_ema20,es_last,es_vwap,es_vwap_slope,es_vwap_acceleration,es_vwap_acceleration_allowed,es_rolling_high_ready,es_rolling_high_allowed,es_rolling_high_samples,es_rolling_high,es_rolling_high_distance,es_rolling_high_minutes_since,rsi_slope,adx_slope,indicator_slope_allowed,es_higher_low_distance,es_structure_ready,es_structure_allowed,es_structure_score,es_structure_samples,es_structure_higher_low,es_structure_higher_low_distance,es_structure_higher_high,es_structure_higher_high_distance,es_structure_shallow_pullback,es_structure_pullback_from_high,es_structure_rising_vwap,es_structure_vwap_slope,es_structure_above_vwap,es_structure_vwap_distance,es_reclaim_ready,es_reclaim_allowed,es_reclaim_samples,es_reclaim_min_distance_seen,es_reclaim_current_distance,es_vwap_max_distance_allowed,es_minus_vwap,es_session_volume,vix_price,vix_regime,vix_age_seconds,effective_rsi_threshold,effective_pullback_distance,take_profit_distance,take_profit_price,setup_quality_score,setup_quality_allowed,setup_quality_take_profit_boost,entry_veto_points,entry_veto_allowed,entry_veto_reason,slow_risk_points,slow_risk_allowed,entry_risk_tier,entry_quantity_multiplier,option_data_state,active_profile_set,used_0dte,used_1dte,used_no_0dte_fallback,router_reason,long_strategy,strategy_profile,strategy_profile_enabled,long_strategy_allowed,long_strategy_reason,long_strategy_take_profit_multiplier,long_strategy_max_take_profit_distance,option_iv_utc_time,option_iv_age_seconds,option_iv_underlying_price,option_iv_underlying_price_source,option_iv_subscriptions,option_iv_valid_options,option_iv_expiries,option_iv_nearest_expiry,option_iv_nearest_dte,option_iv_atm_strike,option_iv_atm_iv,option_iv_atm_call_iv,option_iv_atm_put_iv,option_iv_atm_put_call_iv_spread,option_iv_0dte,option_iv_1dte,option_iv_7dte,option_iv_30dte,option_iv_vix_like_30d,option_iv_30dte_change_30s,option_iv_30dte_change_60s,option_iv_30dte_change_300s,option_iv_30dte_vol_of_vol_300s,option_iv_1d_minus_30d,option_iv_7d_minus_30d,option_iv_put_iv_down_1pct,option_iv_call_iv_up_1pct,option_iv_put_call_skew_1pct,option_iv_put_call_skew_1pct_change_30s,option_iv_put_call_skew_1pct_change_60s,option_iv_put_call_skew_1pct_change_300s,option_iv_expected_move_1d_points,option_iv_expected_move_7d_points,option_iv_expected_move_30d_points,option_iv_median_option_spread_pct,option_iv_max_option_spread,option_iv_data_quality,option_iv_allowed,option_iv_reason,option_strike_map_utc_time,option_strike_map_age_seconds,option_strike_map_underlying_price,option_strike_map_atm_strike,option_strike_map_atm_straddle_points,option_strike_map_expected_move_position,option_strike_map_target_1_strike,option_strike_map_target_1_distance,option_strike_map_target_2_strike,option_strike_map_target_2_distance,option_strike_map_target_3_strike,option_strike_map_target_3_distance,option_strike_map_call_put_volume_imbalance,option_strike_map_gamma_regime_score,option_strike_map_next_upside_call_volume_distance,option_strike_map_long_breakout_allowed,option_strike_map_long_breakout_reason,option_strike_map_selected_tp_source,option_strike_map_selected_tp_target,option_strike_map_selected_tp_distance,option_strike_map_allowed,option_strike_map_reason,order_book_microstructure_direction,order_book_microstructure_label,order_book_microstructure_confirmation_count,order_book_microstructure_allowed,order_book_microstructure_reason,spx_ema20_distance,spx_ema20_max_distance_allowed,above_vwap_confirmed,es_vwap_slope_allowed,es_higher_low_allowed,higher_timeframe_ema,higher_timeframe_ema_slope,higher_timeframe_trend,hour_utc,mae,mfe,end_trade_drawdown,closed_trade_duration,path_price_sample_count,path_has_intratrade_samples,path_mfe,path_mae,path_mfe_minutes,path_mae_minutes,path_mfe_before_mae,path_positive_before_mae,path_first_positive_minutes,path_mfe_before_mae_points,path_mae_before_mfe_points,path_mfe_after_mae_points,path_configured_tp_distance,path_effective_tp_distance,path_tp_reached,path_tp_reached_before_mae,path_tp_touch_minutes,path_half_tp_touch_minutes,path_mfe_to_tp_ratio,path_pre_mae_mfe_to_tp_ratio,path_first_observed_points,path_first_observed_seconds,path_first_nonzero_move_points,path_first_nonzero_move_seconds,path_first_nonzero_move_positive,path_first_profit_0_5p_minutes,path_first_profit_1_0p_minutes,path_first_profit_1_5p_minutes,path_first_profit_2_0p_minutes,path_first_profit_3_0p_minutes,path_first_profit_4_0p_minutes,path_first_profit_5_0p_minutes,path_mfe_first_5m,path_mae_first_5m,path_mfe_first_15m,path_mae_first_15m,path_mfe_first_30m,path_mae_first_30m,path_mfe_first_60m,path_mae_first_60m
1,2,2026-06-25T05:51:00+00:00,2026-06-25T06:03:00+00:00,2026-06-25T01:51:00.0000000,2026-06-25T02:03:00.0000000,34.0,7426.9,7428.9,7427.9,68.0,720.0,12.0,2026-06-25T05:51:00+00:00,0.0,7426.55,7483.670001790154,48.66854995685375,20.54648028377998,-57.120001790153765,7483.5,7478.197186955439,0.0052454103260322,-0.004354192891336548,True,True,True,665.0,7487.25,3.75,12.0166666666667,4.660347798746253,0.33557339274683085,True,3.25,True,True,3.0,461.0,False,-3.5,False,-2.0,True,1.75,True,0.009849052821642267,True,5.302813044560617,True,True,228.0,2.0790400961907785,5.302813044560617,True,5.302813044560935,60255.0,,disabled,,38.0,0.0,3.1227459263068202,7429.7,45.11864273784569,True,0.0,4.0,True,setup quality 45.12 <= 50.00; ES structure score 3 <= 3; ES structure higher-low -3.50 < 0.25; ES structure higher-high -2.00 < 0.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7483.50, ema=7483.67, distance=5.30, adx=20.55, rsi=48.67, structure=3",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T05:50:55.0696490Z,4.930351,7472.0,7470.0,72.275,0.02767208578,7475.0,3.0,7544.275,72.275,7475.0,3.0,0.9775200714,0.9710665564,3.0,True,allowed,,,,True,allowed,,,,,,-0.17000179015354183,True,True,True,True,,,True,5,-56.1,83.3,95.2,00:12:00,50,True,2.350000000000364,-1.6499999999996362,12.0,5.016666666666667,False,True,0.7666666666666667,0.9500000000007276,-1.6499999999996362,2.350000000000364,3.1227459263068202,2.800000000000182,False,False,,9.516666666666667,0.8392857142857897,0.3392857142859521,-0.25,1.0,-0.25,1.0,False,1.0166666666666666,9.266666666666667,9.766666666666667,9.766666666666667,,,,0.9500000000007276,-1.25,2.350000000000364,-1.6499999999996362,2.350000000000364,-1.6499999999996362,2.350000000000364,-1.6499999999996362
3,4,2026-06-25T06:06:00+00:00,2026-06-25T06:13:06+00:00,2026-06-25T02:06:00.0000000,2026-06-25T02:13:06.0000000,34.0,7427.1,7430.4,7430.1,112.19999999997526,426.0,7.1,2026-06-25T06:06:00+00:00,0.0,7426.75,7484.491378909654,44.97225399897934,12.277791563713325,-57.74137890965358,7483.75,7478.410104955237,0.013682328752168089,-0.006261739839484079,True,True,True,720.0,7487.25,3.5,27.1666666666667,-6.293434457724134,-0.8000187563985451,True,2.0,True,True,5.0,472.0,True,0.75,True,1.25,True,3.25,True,0.011884400482479813,True,5.339895044762685,True,True,281.0,3.4732464618005503,5.339895044762685,True,5.33989504476267,62217.0,,disabled,,38.0,0.0,2.9222236964900183,7429.7,47.2422716952035,True,0.0,4.0,True,setup quality 47.24 <= 50.00; RSI slope -6.2934 <= -2.0000; ADX 12.28 <= 18.00; RSI 44.97 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7483.75, ema=7484.49, distance=5.34, adx=12.28, rsi=44.97, structure=5",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T06:05:58.1279630Z,1.872037,7472.25,7470.0,71.475,0.0314795383,7475.0,2.75,7543.725,71.475,7475.0,2.75,0.9768624014,0.9703394796,2.75,True,allowed,,,,True,allowed,,,,,,-0.7413789096536489,True,True,True,True,,,True,6,-52.7,137.7,52.7,00:07:06,30,True,3.2999999999992724,-1.25,7.1,0.7666666666666667,False,False,1.2666666666666666,0.0,-1.25,3.2999999999992724,2.9222236964900183,2.5999999999994543,True,False,5.766666666666667,2.5166666666666666,1.2692307692307558,0.0,-0.4500000000007276,1.0,-0.4500000000007276,1.0,False,1.7666666666666666,2.2666666666666666,2.5166666666666666,3.0166666666666666,6.016666666666667,,,2.25,-1.25,3.2999999999992724,-1.25,3.2999999999992724,-1.25,3.2999999999992724,-1.25
5,6,2026-06-25T07:32:01+00:00,2026-06-25T07:44:06+00:00,2026-06-25T03:32:01.0000000,2026-06-25T03:44:06.0000000,34.0,7440.9,7441.9,7441.9,34.0,725.0,12.083333333333334,2026-06-25T07:32:01+00:00,0.0,7440.65,7478.525095920347,67.56924925988709,19.48020702854867,-37.87509592034712,7488.75,7478.824079804652,0.1470177109395064,0.15622121070834982,True,True,True,1089.0,7495.75,7.0,1.26666666666667,5.535097120779761,1.2621442456281573,True,16.25,True,True,2.0,737.0,False,-2.0,True,15.25,False,7.0,False,0.03194832763468103,True,9.925920195348105,True,True,403.0,-5.610241310848571,9.925920195348105,True,9.925920195348226,88867.0,,disabled,,30.0,0.0,14.0625,7454.7,63.014044412477304,True,0.16744691180429475,4.0,True,"ES structure score 2 <= 3; ES structure higher-low -2.00 < 0.25; ES pullback from high 7.00 >= 5.00; ES recent high rejection distance 7.00 >= 5.00, minutes 1.27 <= 15.00",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=9.93, slope=0.1470, adx=19.48, rsi=67.57, structure=3, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:32:00.7048050Z,0.295195,7486.0,7485.0,72.4,0.0138121547,7500.0,14.0,7558.4,72.4,7490.0,4.0,0.9704721532,0.9647793854,4.0,True,allowed,target_1_next_strike,7500.0,11.25,True,allowed,,,,,,10.224904079653085,True,True,True,True,,,True,7,-103.7,66.3,119.0,00:12:05,55,True,1.9500000000007276,-3.0499999999992724,10.766666666666667,6.016666666666667,False,True,0.5166666666666667,0.4500000000007276,-3.0499999999992724,1.9500000000007276,14.0625,13.800000000000182,False,False,,,0.14130434782613782,0.03260869565222621,-0.25,1.0,-0.25,1.0,False,8.016666666666667,8.016666666666667,10.016666666666667,,,,,0.4500000000007276,-2.25,1.9500000000007276,-3.0499999999992724,1.9500000000007276,-3.0499999999992724,1.9500000000007276,-3.0499999999992724
7,8,2026-06-25T09:22:08+00:00,2026-06-25T09:34:08+00:00,2026-06-25T05:22:08.0000000,2026-06-25T05:34:08.0000000,34.0,7432.4,7435.1,7433.4,91.80000000002474,720.0,12.0,2026-06-25T09:22:08+00:00,0.0,7432.15,7440.25460337676,72.31665244539509,26.86388171474584,-8.104603376760679,7459.0,7444.584652417476,0.040755872062930326,0.10478026873875504,True,True,True,1801.0,7461.5,2.5,1.56666666666667,5.2826123048232425,-0.5449538218309897,True,31.0,True,True,4.0,1201.0,True,19.5,True,7.25,True,2.5,False,-0.09331139212897996,True,14.41534758252437,True,True,601.0,-16.42747915232877,14.41534758252437,True,14.415347582524191,594794.0,,disabled,,30.0,0.0,38.75,7470.9,79.04705742081143,True,1.0581698567117457,1.0,True,RSI 72.32 >= 70.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=14.42, slope=0.0408, adx=26.86, rsi=72.32, structure=4, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T09:22:07.9369440Z,0.063056,7477.75,7480.0,74.95,-0.03002001334,7500.0,22.25,7552.7,74.95,7490.0,12.25,0.9680696662,0.9613906102,12.25,True,allowed,target_3_call_volume,7490.0,31.0,True,allowed,,,,,,18.745396623239277,True,True,True,True,,,True,9,-25.5,107.1,74.8,00:12:00,50,True,2.9500000000007276,-0.6499999999996362,11.9,5.4,False,True,1.15,0.75,-0.6499999999996362,2.9500000000007276,38.75,38.5,False,False,,,0.07662337662339552,0.01948051948051948,-0.3499999999994543,9.0,-0.3499999999994543,9.0,False,1.9,7.15,7.15,8.9,,,,0.75,-0.5499999999992724,2.9500000000007276,-0.6499999999996362,2.9500000000007276,-0.6499999999996362,2.9500000000007276,-0.6499999999996362
9,10,2026-06-25T09:34:21+00:00,2026-06-25T09:51:41+00:00,2026-06-25T05:34:21.0000000,2026-06-25T05:51:41.0000000,34.0,7435.6,7436.6,7436.6,34.0,1040.0,17.333333333333332,2026-06-25T09:34:21+00:00,0.0,7435.35,7449.280149465816,70.6589675823481,21.28801852554743,-13.930149465815703,7459.0,7445.313255804703,0.08915605261243507,0.06007999644590964,True,True,True,1801.0,7467.25,8.25,1.03333333333333,0.0,0.0,True,17.25,True,True,3.0,1201.0,True,13.75,True,5.75,False,8.25,False,0.03251998750103882,True,13.686744195297488,True,True,601.0,-2.970113198375514,13.686744195297488,True,13.686744195297251,653608.0,,disabled,,30.0,0.0,38.75,7474.1,71.85955531062595,True,0.6588641839236636,4.0,True,"ES structure score 3 <= 3; ES pullback from high 8.25 >= 5.00; ES recent high rejection distance 8.25 >= 5.00, minutes 1.03 <= 15.00; RSI 70.66 >= 70.00",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=13.69, slope=0.0892, adx=21.29, rsi=70.66, structure=4, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T09:34:20.4803040Z,0.519696,7481.0,7480.0,72.3,0.01383125864,7500.0,19.0,7553.3,72.3,7490.0,9.0,0.9681437126,0.9618023959,9.0,True,allowed,target_3_call_volume,7490.0,31.0,True,allowed,,,,,,9.719850534183843,True,True,True,True,,,True,9,-25.5,56.1,71.4,00:17:20,110,True,1.5499999999992724,-0.75,3.433333333333333,0.6833333333333333,False,True,0.18333333333333332,0.049999999999272404,-0.75,1.5499999999992724,38.75,38.5,False,False,,,0.04025974025972136,0.0012987012986824002,0.049999999999272404,11.0,0.049999999999272404,11.0,True,2.183333333333333,2.433333333333333,3.433333333333333,,,,,1.5499999999992724,-0.75,1.5499999999992724,-0.75,1.5499999999992724,-0.75,1.5499999999992724,-0.75
11,12,2026-06-25T09:51:42+00:00,2026-06-25T10:07:41+00:00,2026-06-25T05:51:42.0000000,2026-06-25T06:07:41.0000000,34.0,7437.4,7438.4,7438.4,34.0,959.0,15.983333333333333,2026-06-25T09:51:42+00:00,0.0,7437.15,7454.272226855249,57.98815184583911,15.718796943306213,-17.12222685524921,7469.75,7446.2191719807915,0.05554950791930938,0.03413316531187678,True,True,True,1801.0,7469.75,0.0,0.0,0.0,0.0,True,25.5,True,True,4.0,1201.0,False,-7.5,True,2.5,True,0.0,True,0.06146976031177248,True,23.53082801920819,True,True,601.0,-1.6798221786189549,23.53082801920819,True,23.530828019208457,711155.0,,disabled,,42.0,0.0,12.0,7449.2,75.9565954613836,True,0.8864775256324222,2.0,True,ES structure higher-low -7.50 < 0.25; ADX 15.72 <= 18.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_wall_breakaway_long,charm_wall_breakaway_long,True,True,"charm-wall breakaway: price=7469.75, charmWall=7450.00, distance=19.75, breakoutConfirmed=True, negativeGamma=False, netCharm30m=4301759",1.25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T09:51:38.9875500Z,3.01245,7481.75,7480.0,71.375,0.02451838879,7500.0,18.25,7553.125,71.375,7490.0,8.25,0.9587361471,0.9523536562,8.25,True,allowed,target_3_call_volume,7490.0,20.25,True,allowed,,,,,,15.477773144751403,True,True,True,True,,,True,9,-103.7,49.3,153.0,00:15:59,66,True,1.4500000000007276,-3.0499999999992724,1.3333333333333333,7.833333333333333,True,True,0.08333333333333333,1.4500000000007276,-0.25,1.4500000000007276,12.0,11.800000000000182,False,False,,,0.12288135593226315,0.12288135593226315,0.25,5.0,0.25,5.0,True,0.8333333333333334,1.3333333333333333,,,,,,1.4500000000007276,-1.25,1.4500000000007276,-3.0499999999992724,1.4500000000007276,-3.0499999999992724,1.4500000000007276,-3.0499999999992724
13,14,2026-06-26T07:16:43+00:00,2026-06-26T07:28:43+00:00,2026-06-26T03:16:43.0000000,2026-06-26T03:28:43.0000000,34.0,7360.1,7363.4,7361.1,112.19999999997526,720.0,12.0,2026-06-26T07:16:43+00:00,0.0,7359.85,7393.456924461269,73.40652552124621,39.39712146479236,-33.606924461269045,7402.25,7386.402224909496,0.05514767911132263,0.03509579302137356,True,True,True,1264.0,7403.75,1.5,0.55,1.9002569542311762,1.7945822668257105,True,9.75,True,True,4.0,876.0,True,10.75,True,7.75,True,1.5,False,0.022968656079413185,True,15.847775090504145,True,True,450.0,6.45242159962781,15.847775090504145,True,15.847775090504001,130657.0,,disabled,,30.0,0.0,28.4375,7388.3,83.11992695720254,True,1.2844403865112521,1.0,True,RSI 73.41 >= 70.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=15.85, slope=0.0551, adx=39.40, rsi=73.41, structure=5, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T07:16:42.8760750Z,0.123925,7404.0,7405.0,72.55,-0.01378359752,7425.0,21.0,7476.55,72.55,7425.0,21.0,0.9577809051,0.9550654881,21.0,True,allowed,target_1_next_strike,7425.0,22.75,True,allowed,,,,,,8.793075538730724,True,True,True,True,,,True,7,-113.9,154.7,197.2,00:12:00,50,True,4.549999999999272,-2.9500000000007276,11.8,4.3,False,True,0.05,2.449999999999818,-2.9500000000007276,4.549999999999272,28.4375,28.199999999999818,False,False,,,0.1613475177304717,0.08687943262410759,0.049999999999272404,3.0,0.049999999999272404,3.0,True,0.55,1.05,1.05,1.05,8.3,11.8,,2.449999999999818,-2.9500000000007276,4.549999999999272,-2.9500000000007276,4.549999999999272,-2.9500000000007276,4.549999999999272,-2.9500000000007276
15,16,2026-06-26T07:30:12+00:00,2026-06-26T07:54:46+00:00,2026-06-26T03:30:12.0000000,2026-06-26T03:54:46.0000000,34.0,7365.6,7366.6,7366.6,34.0,1474.0,24.566666666666666,2026-06-26T07:30:12+00:00,0.0,7365.25,7393.963113561464,52.89290656461274,24.078566287713688,-28.713113561463615,7393.75,7386.71400193298,0.01322796395599071,-0.008740985062061689,True,True,True,1331.0,7403.75,10.0,14.0333333333333,4.732148416791185,-1.6465516338353219,True,3.75,True,True,3.0,886.0,False,-3.5,False,-5.75,True,4.25,True,0.030515660144057426,True,7.035998067019817,True,True,429.0,3.3342928670123464,7.035998067019817,True,7.035998067020046,135542.0,,disabled,,38.0,0.0,3.582748544083059,7368.8,52.70307637181428,True,0.0,5.0,True,"ES structure score 3 <= 3; ES structure higher-low -3.50 < 0.25; ES structure higher-high -5.75 < 0.00; ES recent high rejection distance 10.00 >= 5.00, minutes 14.03 <= 15.00; ADX slope -1.6466 <= -1.0000",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7393.75, ema=7393.96, distance=7.04, adx=24.08, rsi=52.89, structure=3",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T07:30:10.6708260Z,1.329174,7410.0,7410.0,71.35,0.0,7425.0,15.0,7481.35,71.35,7425.0,15.0,0.9582211224,0.9558046131,15.0,True,allowed,,,,True,allowed,,,,,,-0.2131135614640339,True,True,True,True,,,True,7,-181.9,103.7,285.6,00:24:34,105,True,3.0499999999992724,-5.350000000000364,2.316666666666667,16.066666666666666,True,True,0.31666666666666665,3.0499999999992724,-0.4500000000007276,1.6499999999996362,3.582748544083059,3.199999999999818,False,False,,0.8166666666666667,0.9531249999998268,0.9531249999998268,-0.4500000000007276,4.0,-0.4500000000007276,4.0,False,0.31666666666666665,0.8166666666666667,0.8166666666666667,1.0666666666666667,2.316666666666667,,,3.0499999999992724,-0.4500000000007276,3.0499999999992724,-3.4500000000007276,3.0499999999992724,-5.350000000000364,3.0499999999992724,-5.350000000000364
17,18,2026-06-26T08:58:00+00:00,2026-06-26T09:14:36+00:00,2026-06-26T04:58:00.0000000,2026-06-26T05:14:36.0000000,35.0,7343.9,7344.9,7344.9,35.0,996.0,16.6,2026-06-26T08:58:00+00:00,0.0,7343.65,7384.29206228238,71.98751344853035,14.288792309597971,-40.64206228238072,7403.5,7382.43866996174,0.12772201664328045,0.11457887799429534,True,True,True,1795.0,7405.5,2.0,0.416666666666667,4.442236960626204,0.45927286099266285,True,26.75,True,True,4.0,1201.0,True,7.75,True,16.5,True,2.0,False,-0.004136317564171795,True,21.061330038260557,True,True,601.0,-5.042609019104524,21.061330038260557,True,21.061330038260166,335855.0,,disabled,,42.0,0.0,12.0,7355.7,80.23460542401934,True,1.1241447457788523,2.0,True,ADX 14.29 <= 18.00; RSI 71.99 >= 70.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_wall_breakaway_long,charm_wall_breakaway_long,True,True,"charm-wall breakaway: price=7403.50, charmWall=7400.00, distance=3.50, breakoutConfirmed=True, negativeGamma=False, netCharm30m=-13793910",1.25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T08:57:58.3774000Z,1.6226,7388.0,7390.0,75.25,-0.02657807309,7400.0,12.0,7463.25,75.25,7400.0,12.0,0.9616315888,0.9580874629,12.0,True,allowed,target_2_upper_straddle,7463.25,50.0,True,allowed,,,,,,19.207937717619643,True,True,True,True,,,True,8,-201.25,47.25,234.5,00:16:36,73,True,1.25,-5.75,16.516666666666666,12.016666666666667,False,True,0.26666666666666666,0.75,-5.75,1.25,12.0,11.800000000000182,False,False,,,0.10593220338982888,0.06355932203389733,-0.75,1.0,-0.75,1.0,False,0.7666666666666667,16.516666666666666,,,,,,0.75,-4.75,0.75,-5.75,1.25,-5.75,1.25,-5.75
19,20,2026-06-26T09:46:14+00:00,2026-06-26T12:05:36+00:00,2026-06-26T05:46:14.0000000,2026-06-26T08:05:36.0000000,17.0,7350.1,7351.1,7351.1,17.0,8362.0,139.36666666666667,2026-06-26T09:46:14+00:00,0.0,7349.85,7419.949872247667,44.52492539822246,19.85120581907665,-70.09987224766701,7419.5,7394.843124339825,0.13555441005363508,-0.016026077981232505,True,True,True,1801.0,7435.75,16.25,25.4333333333333,3.925849684265405,-1.1889243954530064,True,10.25,True,True,3.0,1201.0,False,-13.25,False,-8.75,True,4.75,True,0.16682979869784523,True,24.65687566017503,True,True,601.0,15.208892934981533,24.65687566017503,True,24.65687566017459,497974.0,,disabled,,38.0,0.0,2.4,7352.3,65.92567873037947,True,0.3292043739099704,5.0,True,ES structure score 3 <= 3; ES structure higher-low -13.25 < 0.25; ES structure higher-high -8.75 < 0.00; ADX slope -1.1889 <= -1.0000; RSI 44.52 <= 45.00,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=-0.0034, netCharm30m=-10584318, lowerFade=False, pullback=True, dynamicMaxVwapDistance=18.21",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T09:46:13.3111760Z,0.688824,7394.75,7395.0,72.85,-0.003431708991,7400.0,5.25,7467.6,72.85,7400.0,5.25,0.9615316118,0.9582777571,5.25,True,allowed,,,,True,allowed,,,,,,-0.44987224766776673,True,True,True,True,,,True,9,-296.65,21.25,317.9,02:19:22,560,True,1.25,-16.950000000000728,2.533333333333333,16.283333333333335,True,True,0.03333333333333333,1.25,-1.75,1.1499999999996362,2.4,2.199999999999818,False,False,,2.533333333333333,0.5681818181818652,0.5681818181818652,0.049999999999272404,2.0,0.049999999999272404,2.0,True,0.2833333333333333,2.533333333333333,,,,,,1.25,-2.4500000000007276,1.25,-12.950000000000728,1.25,-16.950000000000728,1.25,-16.950000000000728
