from_run,to_run,recommendation_label,changes,objective_mode,from_score,to_score,delta_score,from_growth_quality_score,to_growth_quality_score,delta_growth_quality_score,from_net_profit,to_net_profit,delta_net_profit,from_drawdown,to_drawdown,delta_drawdown,from_trades,to_trades,delta_trades,from_worst_mae,to_worst_mae,delta_worst_mae,delta_average_mae,change_keys,delta_exposure_hours,delta_pnl_per_exposure_hour,delta_fast_under_15m_trades,delta_slow_12h_trades,outcome,hypothesis_label,hypothesis_family,hypothesis_primary_metric,hypothesis_result,hypothesis_reason
run_001,run_002,fallback-es-quality-box,profile.breakout_long_no_0dte.es-structure.min-score=5; profile.breakout_long_no_0dte.es-vwap.slope-min=0.1; profile.breakout_long_no_0dte.take-profit.distance=4; profile.pullback_long_no_0dte.es-structure.min-score=5,risk-adjusted,9594.488580188678,9354.45182136752,-240.0367588211575,14520.548096633713,14277.519803278414,-243.02829335529896,7125.8,6884.4,-241.40000000000055,0.004,0.004,0.0,107.0,105.0,-2.0,-527.0,-527.0,0.0,1.5634978229317937,"['profile.breakout_long_no_0dte.es-structure.min-score', 'profile.breakout_long_no_0dte.es-vwap.slope-min', 'profile.breakout_long_no_0dte.take-profit.distance', 'profile.pullback_long_no_0dte.es-structure.min-score']",-1.7994444444444397,3.288877150158271,-1.0,0.0,hurt_objective,fallback-es-quality-box,take-profit,net_profit,mixed,score delta -240.037 < 0; net profit delta -241.4 < -25
run_002,run_005,charm-pin-tail-risk-capture,entry-veto-charm-pin-tail-risk-max-adx=20; entry-veto-charm-pin-tail-risk-max-rolling-high-distance=15; entry-veto-charm-pin-tail-risk-min-setup-quality-score=60; use-entry-veto-charm-pin-tail-risk-signature=true,risk-adjusted,9354.45182136752,9594.488580188678,240.0367588211575,14277.519803278414,14520.548096633713,243.02829335529896,6884.4,7125.8,241.40000000000055,0.004,0.004,0.0,105.0,107.0,2.0,-527.0,-527.0,0.0,-1.5634978229317937,"['entry-veto-charm-pin-tail-risk-max-adx', 'entry-veto-charm-pin-tail-risk-max-rolling-high-distance', 'entry-veto-charm-pin-tail-risk-min-setup-quality-score', 'use-entry-veto-charm-pin-tail-risk-signature']",1.7994444444444397,-3.288877150158271,1.0,0.0,improved_objective,charm-pin-tail-risk-capture,runtime-risk,worst_mae,accepted,score delta 240.037 >= 0; net profit delta 241.4 >= -25; trade drop 0% <= 10%; MAE delta 0 >= 0; slow trades delta 0 <= 0
run_003,run_006,fallback-prune-pullback-retain,profile.breakout_long_no_0dte.enabled=false; profile.pullback_long_no_0dte.es-vwap.max-distance=8; profile.pullback_long_no_0dte.take-profit.distance=3; profile.squeeze_long_no_0dte.enabled=false,risk-adjusted,9354.45182136752,9333.019023290597,-21.432798076923063,14277.519803278414,14259.379979535812,-18.139823742601948,6884.4,6861.0,-23.399999999999636,0.004,0.004,0.0,105.0,105.0,0.0,-527.0,-527.0,0.0,1.315384615384616,"['profile.breakout_long_no_0dte.enabled', 'profile.pullback_long_no_0dte.es-vwap.max-distance', 'profile.pullback_long_no_0dte.take-profit.distance', 'profile.squeeze_long_no_0dte.enabled']",0.5874999999999986,-4.034508733532135,0.0,0.0,flat_net_profit,fallback-prune-pullback-retain,take-profit,net_profit,mixed,score delta -21.4328 < 0
run_004,run_007,batch-g-1dte-quality-tighten,profile.breakout_long_1dte.es-structure.min-score=4; profile.breakout_long_1dte.es-vwap.slope-min=0.04; profile.breakout_long_1dte.long-regime-filter-1dte.min-forward-dex-ratio-30m=0.08; profile.breakout_long_1dte.take-profit.max-distance=6,risk-adjusted,9355.881906746032,9000.156374494949,-355.72553225108277,14284.023317193172,13861.856538099624,-422.16677909354803,6884.4,6567.3,-317.09999999999945,0.004,0.005,0.001,106.0,100.0,-6.0,-527.0,-603.75,-76.75,-6.491832611832621,"['profile.breakout_long_1dte.es-structure.min-score', 'profile.breakout_long_1dte.es-vwap.slope-min', 'profile.breakout_long_1dte.long-regime-filter-1dte.min-forward-dex-ratio-30m', 'profile.breakout_long_1dte.take-profit.max-distance']",0.278333333333336,-10.363694251554847,-3.0,0.0,hurt_objective,batch-g-1dte-quality-tighten,take-profit,net_profit,mixed,score delta -355.726 < 0; net profit delta -317.1 < -25
run_005,run_008,1dte-local-quality-gate,profile.breakout_long_1dte.es-structure.min-score=4; profile.breakout_long_1dte.es-vwap.slope-min=0.04; profile.breakout_long_1dte.take-profit.max-distance=6,risk-adjusted,9594.488580188678,9000.156374494949,-594.3322056937286,14520.548096633713,13861.856538099624,-658.6915585340885,7125.8,6567.3,-558.5,0.004,0.005,0.001,107.0,100.0,-7.0,-527.0,-603.75,-76.75,-4.300624166190204,"['profile.breakout_long_1dte.es-structure.min-score', 'profile.breakout_long_1dte.es-vwap.slope-min', 'profile.breakout_long_1dte.take-profit.max-distance']",-0.3730555555555526,-13.547169686883649,-4.0,0.0,hurt_objective,1dte-local-quality-gate,take-profit,net_profit,mixed,score delta -594.332 < 0; net profit delta -558.5 < -25
run_006,run_009,promote,option-call-volume.min-increase-pct=0.05; profile.call_wall_acceptance_long.dynamic-take-profit.max=7; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.03; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=7.5e+08,risk-adjusted,9333.019023290597,8803.291104438717,-529.7279188518805,14259.379979535812,13654.260557413303,-605.1194221225087,6861.0,6379.4,-481.60000000000036,0.004,0.005,0.001,105.0,98.0,-7.0,-527.0,-638.75,-111.75,-7.357831086439333,"['option-call-volume.min-increase-pct', 'profile.call_wall_acceptance_long.dynamic-take-profit.max', 'profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m', 'profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume']",0.6172222222222175,-16.939750842522585,-5.0,0.0,hurt_objective,promote,take-profit,net_profit,mixed,score delta -529.728 < 0; net profit delta -481.6 < -25
run_007,run_010,call-wall-sample-expansion,option-call-volume.min-increase-pct=0.05; option-strike-acceptance-seconds=30; profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m=0.03; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=7.5e+08,risk-adjusted,9000.156374494949,8686.00018888889,-314.1561856060598,13861.856538099624,13536.850221973687,-325.0063161259368,6567.3,6261.5,-305.8000000000002,0.005,0.005,0.0,100.0,97.0,-3.0,-603.75,-638.75,-35.0,0.5591540404040387,"['option-call-volume.min-increase-pct', 'option-strike-acceptance-seconds', 'profile.call_wall_acceptance_long.long-regime-filter.min-forward-dex-ratio-30m', 'profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume']",-0.50833333333334,-6.022458164736037,-2.0,0.0,hurt_objective,call-wall-sample-expansion,option-strike-map,score,mixed,score delta -314.156 < 0; net profit delta -305.8 < -25
run_008,run_011,promote,option-call-volume.min-increase-pct=0.05; option-strike-acceptance-seconds=30; profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume=7.5e+08,risk-adjusted,9000.156374494949,8686.00018888889,-314.1561856060598,13861.856538099624,13536.850221973687,-325.0063161259368,6567.3,6261.5,-305.8000000000002,0.005,0.005,0.0,100.0,97.0,-3.0,-603.75,-638.75,-35.0,0.5591540404040387,"['option-call-volume.min-increase-pct', 'option-strike-acceptance-seconds', 'profile.call_wall_acceptance_long.long-regime-filter.min-net-dex-volume']",-0.50833333333334,-6.022458164736037,-2.0,0.0,hurt_objective,promote,option-strike-map,score,mixed,score delta -314.156 < 0; net profit delta -305.8 < -25
run_009,run_012,runtime-risk-validation,trade-risk-max-adverse-points=12; use-stale-trade-exit=true; use-trade-health-exit=true,risk-adjusted,8803.291104438717,4134.662399999999,-4668.628704438717,13654.260557413303,4277.425337234506,-9376.835220178797,6379.4,5835.2,-544.1999999999998,0.005,0.005,0.0,98.0,110.0,12.0,-638.75,-392.0,246.75,10.168265559373808,"['trade-risk-max-adverse-points', 'use-stale-trade-exit', 'use-trade-health-exit']",-3.3897222222222183,1.974600718626391,7.0,0.0,hurt_objective,runtime-risk-validation,runtime-risk,worst_mae,mixed,score delta -4668.63 < 0; net profit delta -544.2 < -25
run_010,run_013,1dte-pullback-companion-activation,"__router.one-dte-profiles=breakout_long_1dte,pullback_long_1dte",risk-adjusted,8686.00018888889,9478.611210714285,792.6110218253962,13536.850221973687,14404.030832199976,867.180610226289,6261.5,7009.2,747.6999999999998,0.005,0.004,-0.001,97.0,106.0,9.0,-638.75,-527.0,111.75,4.570773809523814,['__router.one-dte-profiles'],3.013888888888893,5.560290018212697,7.0,0.0,improved_objective,1dte-pullback-companion-activation,general,score,accepted,score delta 792.611 >= 0; net profit delta 747.7 >= -25; trade drop 0% <= 10%
