entry_order_id,exit_order_id,entry_utc,exit_utc,entry_algorithm_time,exit_algorithm_time,quantity,entry_price,exit_price,exit_limit_price,pnl,hold_seconds,hold_minutes,signal_utc,signal_lag_seconds,signal_price,ema20,rsi14,adx14,price_minus_ema20,es_last,es_vwap,es_vwap_slope,es_vwap_acceleration,es_vwap_acceleration_allowed,es_rolling_high_ready,es_rolling_high_allowed,es_rolling_high_samples,es_rolling_high,es_rolling_high_distance,es_rolling_high_minutes_since,rsi_slope,adx_slope,indicator_slope_allowed,es_higher_low_distance,es_structure_ready,es_structure_allowed,es_structure_score,es_structure_samples,es_structure_higher_low,es_structure_higher_low_distance,es_structure_higher_high,es_structure_higher_high_distance,es_structure_shallow_pullback,es_structure_pullback_from_high,es_structure_rising_vwap,es_structure_vwap_slope,es_structure_above_vwap,es_structure_vwap_distance,es_reclaim_ready,es_reclaim_allowed,es_reclaim_samples,es_reclaim_min_distance_seen,es_reclaim_current_distance,es_vwap_max_distance_allowed,es_minus_vwap,es_session_volume,vix_price,vix_regime,vix_age_seconds,effective_rsi_threshold,effective_pullback_distance,take_profit_distance,take_profit_price,setup_quality_score,setup_quality_allowed,setup_quality_take_profit_boost,entry_veto_points,entry_veto_allowed,entry_veto_reason,slow_risk_points,slow_risk_allowed,entry_risk_tier,entry_quantity_multiplier,option_data_state,active_profile_set,used_0dte,used_1dte,used_no_0dte_fallback,router_reason,long_strategy,strategy_profile,strategy_profile_enabled,long_strategy_allowed,long_strategy_reason,long_strategy_take_profit_multiplier,long_strategy_max_take_profit_distance,option_iv_utc_time,option_iv_age_seconds,option_iv_underlying_price,option_iv_underlying_price_source,option_iv_subscriptions,option_iv_valid_options,option_iv_expiries,option_iv_nearest_expiry,option_iv_nearest_dte,option_iv_atm_strike,option_iv_atm_iv,option_iv_atm_call_iv,option_iv_atm_put_iv,option_iv_atm_put_call_iv_spread,option_iv_0dte,option_iv_1dte,option_iv_7dte,option_iv_30dte,option_iv_vix_like_30d,option_iv_30dte_change_30s,option_iv_30dte_change_60s,option_iv_30dte_change_300s,option_iv_30dte_vol_of_vol_300s,option_iv_1d_minus_30d,option_iv_7d_minus_30d,option_iv_put_iv_down_1pct,option_iv_call_iv_up_1pct,option_iv_put_call_skew_1pct,option_iv_put_call_skew_1pct_change_30s,option_iv_put_call_skew_1pct_change_60s,option_iv_put_call_skew_1pct_change_300s,option_iv_expected_move_1d_points,option_iv_expected_move_7d_points,option_iv_expected_move_30d_points,option_iv_median_option_spread_pct,option_iv_max_option_spread,option_iv_data_quality,option_iv_allowed,option_iv_reason,option_strike_map_utc_time,option_strike_map_age_seconds,option_strike_map_underlying_price,option_strike_map_atm_strike,option_strike_map_atm_straddle_points,option_strike_map_expected_move_position,option_strike_map_target_1_strike,option_strike_map_target_1_distance,option_strike_map_target_2_strike,option_strike_map_target_2_distance,option_strike_map_target_3_strike,option_strike_map_target_3_distance,option_strike_map_call_put_volume_imbalance,option_strike_map_gamma_regime_score,option_strike_map_next_upside_call_volume_distance,option_strike_map_long_breakout_allowed,option_strike_map_long_breakout_reason,option_strike_map_selected_tp_source,option_strike_map_selected_tp_target,option_strike_map_selected_tp_distance,option_strike_map_allowed,option_strike_map_reason,order_book_microstructure_direction,order_book_microstructure_label,order_book_microstructure_confirmation_count,order_book_microstructure_allowed,order_book_microstructure_reason,spx_ema20_distance,spx_ema20_max_distance_allowed,above_vwap_confirmed,es_vwap_slope_allowed,es_higher_low_allowed,higher_timeframe_ema,higher_timeframe_ema_slope,higher_timeframe_trend,hour_utc,mae,mfe,end_trade_drawdown,closed_trade_duration,path_price_sample_count,path_has_intratrade_samples,path_mfe,path_mae,path_mfe_minutes,path_mae_minutes,path_mfe_before_mae,path_positive_before_mae,path_first_positive_minutes,path_mfe_before_mae_points,path_mae_before_mfe_points,path_mfe_after_mae_points,path_configured_tp_distance,path_effective_tp_distance,path_tp_reached,path_tp_reached_before_mae,path_tp_touch_minutes,path_half_tp_touch_minutes,path_mfe_to_tp_ratio,path_pre_mae_mfe_to_tp_ratio,path_first_observed_points,path_first_observed_seconds,path_first_nonzero_move_points,path_first_nonzero_move_seconds,path_first_nonzero_move_positive,path_first_profit_0_5p_minutes,path_first_profit_1_0p_minutes,path_first_profit_1_5p_minutes,path_first_profit_2_0p_minutes,path_first_profit_3_0p_minutes,path_first_profit_4_0p_minutes,path_first_profit_5_0p_minutes,path_mfe_first_5m,path_mae_first_5m,path_mfe_first_15m,path_mae_first_15m,path_mfe_first_30m,path_mae_first_30m,path_mfe_first_60m,path_mae_first_60m
1,2,2026-06-25T05:53:14+00:00,2026-06-25T06:08:31+00:00,2026-06-25T01:53:14.0000000,2026-06-25T02:08:31.0000000,34.0,7427.4,7428.4,7428.4,34.0,917.0,15.283333333333333,2026-06-25T05:53:14+00:00,0.0,7427.15,7483.842110308947,56.43628061317044,23.174157902046613,-56.69211030894712,7483.75,7478.219290192381,0.007462736061251686,0.001505665670126761,True,True,True,653.0,7487.25,3.5,14.4166666666667,3.9718390048358323,-1.3005070404348271,True,3.5,True,True,3.0,441.0,False,-2.25,False,-1.5,True,2.0,True,0.008759770893775816,True,5.530709807619142,True,True,206.0,2.0790400961907785,5.530709807619142,True,5.530709807619132,60453.0,,disabled,,38.0,0.0,3.37795644769848,7430.5,51.916383325937126,True,0.0,4.0,True,ES structure score 3 <= 3; ES structure higher-low -2.25 < 0.25; ES structure higher-high -1.50 < 0.00; ADX slope -1.3005 <= -1.0000,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7483.75, ema=7483.84, distance=5.53, adx=23.17, rsi=56.44, structure=3",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T05:53:10.5328330Z,3.467167,7472.5,7470.0,72.025,0.03471017008,7475.0,2.5,7544.525,72.025,7475.0,2.5,0.9775760812,0.971304846,2.5,True,allowed,,,,True,allowed,,,,,,-0.09211030894655012,True,True,True,True,,,True,5,-73.1,66.3,129.2,00:15:17,64,True,1.8500000000003638,-2.0499999999992724,9.766666666666667,3.0166666666666666,False,False,7.016666666666667,0.0,-2.0499999999992724,1.8500000000003638,3.37795644769848,3.100000000000364,False,False,,9.516666666666667,0.5967741935484344,0.0,-0.25,1.0,-0.25,1.0,False,7.016666666666667,7.516666666666667,9.516666666666667,,,,,0.0,-2.0499999999992724,1.8500000000003638,-2.0499999999992724,1.8500000000003638,-2.0499999999992724,1.8500000000003638,-2.0499999999992724
3,4,2026-06-25T07:31:51+00:00,2026-06-25T07:43:51+00:00,2026-06-25T03:31:51.0000000,2026-06-25T03:43:51.0000000,34.0,7440.6,7442.4,7441.6,61.19999999997526,720.0,12.0,2026-06-25T07:31:51+00:00,0.0,7440.25,7477.527737596173,82.93633215165195,21.396872358822243,-37.27773759617321,7489.25,7478.782335694676,0.13753429669767572,0.1465908516364476,True,True,True,1084.0,7495.75,6.5,1.1,7.208670213899067,0.8213746207664011,True,16.75,True,True,2.0,731.0,False,-2.0,True,15.25,False,6.5,False,0.029862230509473543,True,10.467664305324883,True,True,397.0,-5.610241310848571,10.467664305324883,True,10.467664305324433,88509.0,,disabled,,30.0,0.0,13.4375,7453.7,64.70578772061823,True,0.26143265114545716,5.0,True,"ES structure score 2 <= 3; ES structure higher-low -2.00 < 0.25; ES pullback from high 6.50 >= 5.00; ES recent high rejection distance 6.50 >= 5.00, minutes 1.10 <= 15.00; RSI 82.94 >= 70.00",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=10.47, slope=0.1375, adx=21.40, rsi=82.94, structure=3, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:31:50.6706560Z,0.329344,7485.5,7485.0,72.925,0.006856359273,7500.0,14.5,7558.425,72.925,7490.0,4.5,0.9704548779,0.9647616316,4.5,True,allowed,target_1_next_strike,7500.0,10.75,True,allowed,,,,,,11.722262403827093,True,True,True,True,,,True,7,-93.5,76.5,119.0,00:12:00,50,True,2.0499999999992724,-2.25,11.9,6.4,False,True,0.15,0.75,-2.25,2.0499999999992724,13.4375,13.099999999999454,False,False,,,0.15648854961827158,0.05725190839694895,0.049999999999272404,9.0,0.049999999999272404,9.0,True,0.4,8.15,10.15,11.9,,,,0.75,-1.8500000000003638,2.0499999999992724,-2.25,2.0499999999992724,-2.25,2.0499999999992724,-2.25
5,6,2026-06-25T08:28:07+00:00,2026-06-25T10:12:51+00:00,2026-06-25T04:28:07.0000000,2026-06-25T06:12:51.0000000,34.0,7438.9,7439.9,7439.9,34.0,6284.0,104.73333333333333,2026-06-25T08:28:07+00:00,0.0,7438.65,7483.60361419624,68.52733123411906,24.460924180797374,-44.95361419624078,7486.25,7480.746872174867,0.040072740518243506,0.03552195335428553,True,True,True,1432.0,7488.5,2.25,27.45,3.743223709844175,0.2388385796729359,True,6.75,True,True,3.0,941.0,False,-0.5,True,4.0,True,1.75,False,0.01483498453204255,True,5.503127825132378,True,True,484.0,-1.0532826560934752,5.503127825132378,True,5.503127825132651,123888.0,,disabled,,30.0,0.0,4.6875,7443.3,59.59059341134733,True,0.0,2.0,True,ES structure score 3 <= 3; ES structure higher-low -0.50 < 0.25,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=5.50, slope=0.0401, adx=24.46, rsi=68.53, structure=4, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T08:28:06.9755160Z,0.024484,7484.0,7485.0,73.85,-0.01354096141,7500.0,16.0,7557.85,73.85,7490.0,6.0,0.9670271696,0.9606388756,6.0,True,allowed,target_3_call_volume,7490.0,3.75,True,allowed,,,,,,2.6463858037594643,True,True,True,True,,,True,8,-290.7,49.3,316.2,01:44:44,425,True,1.25,-8.549999999999272,104.65,31.133333333333333,False,True,0.38333333333333336,0.75,-8.549999999999272,1.25,4.6875,4.400000000000546,False,False,,,0.28409090909087387,0.17045454545452432,-0.1499999999996362,8.0,-0.1499999999996362,8.0,False,11.883333333333333,104.65,,,,,,0.4500000000007276,-1.0499999999992724,0.75,-2.0499999999992724,0.75,-7.75,0.75,-8.549999999999272
7,8,2026-06-26T07:16:43+00:00,2026-06-26T07:28:43+00:00,2026-06-26T03:16:43.0000000,2026-06-26T03:28:43.0000000,34.0,7360.1,7363.4,7361.1,112.19999999997526,720.0,12.0,2026-06-26T07:16:43+00:00,0.0,7359.85,7393.456924461269,73.40652552124621,52.22791579561732,-33.606924461269045,7402.25,7386.402224909496,0.05514767911132263,0.03509579302137356,True,True,True,1264.0,7403.75,1.5,0.55,1.9002569542311762,2.2699640965155043,True,9.75,True,True,4.0,876.0,True,10.75,True,7.75,True,1.5,False,0.022968656079413185,True,15.847775090504145,True,True,450.0,6.45242159962781,15.847775090504145,True,15.847775090504001,130657.0,,disabled,,30.0,0.0,28.4375,7388.3,83.11992695720254,True,1.2844403865112521,1.0,True,RSI 73.41 >= 70.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=15.85, slope=0.0551, adx=52.23, rsi=73.41, structure=5, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T07:16:42.8760750Z,0.123925,7404.0,7405.0,72.55,-0.01378359752,7425.0,21.0,7476.55,72.55,7425.0,21.0,0.9577809051,0.9550654881,21.0,True,allowed,target_1_next_strike,7425.0,22.75,True,allowed,,,,,,8.793075538730724,True,True,True,True,,,True,7,-113.9,154.7,197.2,00:12:00,50,True,4.549999999999272,-2.9500000000007276,11.8,4.3,False,True,0.05,2.449999999999818,-2.9500000000007276,4.549999999999272,28.4375,28.199999999999818,False,False,,,0.1613475177304717,0.08687943262410759,0.049999999999272404,3.0,0.049999999999272404,3.0,True,0.55,1.05,1.05,1.05,8.3,11.8,,2.449999999999818,-2.9500000000007276,4.549999999999272,-2.9500000000007276,4.549999999999272,-2.9500000000007276,4.549999999999272,-2.9500000000007276
9,10,2026-06-26T08:57:25+00:00,2026-06-26T09:14:21+00:00,2026-06-26T04:57:25.0000000,2026-06-26T05:14:21.0000000,34.0,7342.1,7343.1,7343.1,34.0,1016.0,16.933333333333334,2026-06-26T08:57:25+00:00,0.0,7341.85,7382.270174101578,69.43084604525468,14.261010956211813,-40.420174101577686,7403.5,7382.235574741145,0.08428586359940762,0.05564088259520499,True,True,True,1792.0,7403.5,0.0,0.0,2.1054537727779774,0.28487191434502535,True,26.75,True,True,4.0,1201.0,True,7.75,True,17.25,True,0.0,False,-0.019138888554918024,True,21.264425258855177,True,True,601.0,-5.042609019104524,21.264425258855177,True,21.264425258855226,332715.0,,disabled,,42.0,0.0,12.0,7353.9,80.42103183258226,True,1.1345017684767924,1.0,True,ADX 14.26 <= 18.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_wall_breakaway_long,charm_wall_breakaway_long,True,True,"charm-wall breakaway: price=7403.50, charmWall=7400.00, distance=3.50, breakoutConfirmed=True, negativeGamma=False, netCharm30m=-15316106",1.25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T08:57:23.2627450Z,1.737255,7385.75,7385.0,74.0,0.01013513514,7400.0,14.25,7459.75,74.0,7400.0,14.25,0.9617438827,0.9582943568,14.25,True,allowed,target_2_upper_straddle,7459.75,50.0,True,allowed,,,,,,21.229825898421712,True,True,True,True,,,True,8,-134.3,93.5,227.8,00:16:56,74,True,2.5499999999992724,-3.9500000000007276,1.35,12.6,True,True,0.1,2.5499999999992724,-0.25,1.0499999999992724,12.0,11.799999999999272,False,False,,,0.2161016949152059,0.2161016949152059,0.4499999999998181,6.0,0.4499999999998181,6.0,True,0.35,0.35,0.35,0.85,,,,2.5499999999992724,-2.4500000000007276,2.5499999999992724,-3.9500000000007276,2.5499999999992724,-3.9500000000007276,2.5499999999992724,-3.9500000000007276
11,12,2026-06-26T11:06:00+00:00,2026-06-26T11:12:01+00:00,2026-06-26T07:06:00.0000000,2026-06-26T07:12:01.0000000,17.0,7345.6,7348.1,7348.1,42.5,361.0,6.016666666666667,2026-06-26T11:06:00+00:00,0.0,7345.35,7446.277052764089,46.71541902967687,18.287843133304015,-100.92705276408833,7445.0,7406.624987093699,0.09172913247737696,-0.028632870812546264,True,True,True,1793.0,7459.0,14.0,22.3166666666667,-1.342903311301032,-1.0865125194460785,True,1.25,True,True,3.0,1196.0,True,8.25,False,-3.25,False,7.5,True,0.14750036441640516,True,38.37501290630096,True,True,599.0,37.134053357779784,38.37501290630096,True,38.37501290630098,707019.0,,disabled,,38.0,0.0,2.4,7347.8,66.30195729778853,True,0.3501087387660296,4.0,True,ES structure score 3 <= 3; ES structure higher-high -3.25 < 0.00; ES pullback from high 7.50 >= 5.00; ADX slope -1.0865 <= -1.0000,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=-0.0034, netCharm30m=4890433, lowerFade=False, pullback=True, dynamicMaxVwapDistance=18.35",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T11:05:57.8533470Z,2.146653,7389.75,7390.0,73.4,-0.00340599455,7400.0,10.25,7463.15,73.4,7400.0,10.25,0.8811577703,0.8635038504,10.25,True,allowed,target_2_upper_straddle,7463.15,18.4,True,allowed,,,,,,-1.2770527640887042,True,True,True,True,,,True,11,-41.65,50.15,41.65,00:06:01,26,True,2.949999999999818,-2.4500000000007276,6.016666666666667,0.26666666666666666,False,False,1.0166666666666666,0.0,-2.4500000000007276,2.949999999999818,2.4,2.199999999999818,True,False,5.766666666666667,5.516666666666667,1.340909090909119,0.0,-1.9500000000007276,1.0,-1.9500000000007276,1.0,False,2.0166666666666666,5.266666666666667,5.766666666666667,5.766666666666667,,,,0.75,-2.4500000000007276,2.949999999999818,-2.4500000000007276,2.949999999999818,-2.4500000000007276,2.949999999999818,-2.4500000000007276
13,14,2026-06-26T11:56:18+00:00,2026-06-26T12:00:51+00:00,2026-06-26T07:56:18.0000000,2026-06-26T08:00:51.0000000,17.0,7338.6,7341.1,7341.1,42.5,273.0,4.55,2026-06-26T11:56:18+00:00,0.0,7338.35,7437.225519950242,50.733666574197784,21.705677785441253,-98.87551995024205,7437.0,7409.404107252031,0.039312996907538346,-0.005706617526699383,True,True,True,1745.0,7442.75,5.75,2.2,-1.7464592503082625,0.8161179815620593,True,4.0,True,True,4.0,1152.0,True,1.0,True,1.5,False,5.75,True,0.04182145261758005,True,27.595892747968634,True,True,570.0,23.966177524643356,27.595892747968634,True,27.59589274796872,788386.0,,disabled,,38.0,0.0,2.4,7340.8,68.66055615191418,True,0.48114200843967647,2.0,True,"ES pullback from high 5.75 >= 5.00; ES recent high rejection distance 5.75 >= 5.00, minutes 2.20 <= 15.00",0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=0.0310, netCharm30m=-5157114, lowerFade=False, pullback=True, dynamicMaxVwapDistance=18.13",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T11:56:15.7259750Z,2.274025,7382.25,7380.0,72.5,0.03103448276,7400.0,17.75,7454.75,72.5,7400.0,17.75,0.8908357885,0.8723836452,17.75,True,allowed,,,,True,allowed,,,,,,-0.22551995024240912,True,True,True,True,,,True,11,-21.25,51.85,42.5,00:04:33,19,True,2.649999999999636,-1.050000000000182,4.466666666666667,0.9666666666666667,False,False,1.2166666666666666,0.0,-1.050000000000182,2.649999999999636,2.4,2.199999999999818,True,False,4.466666666666667,3.216666666666667,1.2045454545453889,0.0,-0.5500000000001819,13.0,-0.5500000000001819,13.0,False,1.4666666666666666,1.4666666666666666,3.216666666666667,3.466666666666667,,,,2.649999999999636,-1.050000000000182,2.649999999999636,-1.050000000000182,2.649999999999636,-1.050000000000182,2.649999999999636,-1.050000000000182
15,16,2026-06-26T12:13:22+00:00,2026-06-26T12:15:56+00:00,2026-06-26T08:13:22.0000000,2026-06-26T08:15:56.0000000,17.0,7354.6,7357.1,7357.1,42.5,154.0,2.566666666666667,2026-06-26T12:13:22+00:00,0.0,7354.35,7443.70222347524,62.01966078481412,32.298207160095835,-89.35222347523995,7443.5,7410.3258588563895,0.07431694871750388,0.025974599298925972,True,True,True,1728.0,7452.25,8.75,2.78333333333333,-0.38816498279314504,1.0230235879990626,True,2.0,True,True,4.0,1151.0,True,6.25,True,6.75,False,8.75,True,0.05192879212113591,True,33.17414114361072,True,True,586.0,31.730984212433224,33.17414114361072,True,33.17414114361054,809856.0,,disabled,,38.0,0.0,2.4,7356.8,84.62646660368308,True,1.35,2.0,True,"ES pullback from high 8.75 >= 5.00; ES recent high rejection distance 8.75 >= 5.00, minutes 2.78 <= 15.00",0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=-0.0156, netCharm30m=23954966, lowerFade=False, pullback=True, dynamicMaxVwapDistance=18.06",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T12:13:19.1210730Z,2.878927,7398.875,7400.0,72.25,-0.01557093426,7400.0,1.125,7471.125,72.25,7400.0,1.125,0.8951657306,0.8812999266,1.125,True,allowed,,,,True,allowed,,,,,,-0.20222347524075687,True,True,True,True,,,True,12,-12.75,55.25,42.5,00:02:34,11,True,2.5,-0.3500000000003638,2.566666666666667,1.65,False,True,0.15,1.75,-0.3500000000003638,2.5,2.4,2.199999999999818,True,False,2.566666666666667,0.65,1.1363636363637304,0.7954545454546113,0.1499999999996362,9.0,0.1499999999996362,9.0,True,0.4,0.65,0.65,2.566666666666667,,,,2.5,-0.3500000000003638,2.5,-0.3500000000003638,2.5,-0.3500000000003638,2.5,-0.3500000000003638
17,18,2026-06-26T12:37:36+00:00,2026-06-26T13:56:26+00:00,2026-06-26T08:37:36.0000000,2026-06-26T09:56:26.0000000,17.0,7346.4,7348.9,7348.9,42.5,4730.0,78.83333333333333,2026-06-26T12:37:36+00:00,0.0,7346.15,7438.860195655808,41.86595505439643,20.886771066963636,-92.71019565580809,7436.25,7411.333300276368,0.03255671559681045,-0.033256870077447015,True,True,True,1747.0,7452.25,16.0,27.0166666666667,-1.4438130037649937,-1.241400632108548,True,1.5,True,True,4.0,1167.0,True,3.25,True,7.5,False,11.0,True,0.04265132883956675,True,24.916699723631858,True,True,580.0,23.428760930633903,24.916699723631858,True,24.91669972363161,839460.0,,disabled,,38.0,0.0,2.4,7348.6,61.8351430123376,True,0.10195238957431149,3.0,True,ES pullback from high 11.00 >= 5.00; ADX slope -1.2414 <= -1.0000; RSI 41.87 <= 45.00,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=0.0140, netCharm30m=-24922084, lowerFade=False, pullback=True, dynamicMaxVwapDistance=17.81",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T12:37:34.7483520Z,1.251648,7391.0,7390.0,71.25,0.01403508772,7400.0,9.0,7462.25,71.25,7400.0,9.0,0.9688947436,0.9665262339,9.0,True,allowed,,,,True,allowed,,,,,,-2.6101956558074897,True,True,True,True,,,True,12,-518.5,45.9,522.75,01:18:50,316,True,2.5,-28.0,78.83333333333333,56.666666666666664,False,True,0.4166666666666667,0.25,-28.0,2.5,2.4,2.2000000000007276,True,False,78.83333333333333,78.83333333333333,1.1363636363632605,0.11363636363632605,-0.75,10.0,-0.75,10.0,False,78.83333333333333,78.83333333333333,78.83333333333333,78.83333333333333,,,,0.25,-6.049999999999272,0.25,-10.25,0.25,-12.25,0.25,-28.0
19,20,2026-06-26T14:50:02+00:00,2026-06-26T15:02:02+00:00,2026-06-26T10:50:02.0000000,2026-06-26T11:02:02.0000000,34.0,7377.8,7379.2,7378.8,47.59999999998763,720.0,12.0,2026-06-26T14:50:02+00:00,0.0,7377.6,7421.4592066343075,56.56303438832699,26.91707691626072,-43.85920663430716,7426.75,7413.516429292206,0.04167269529148888,0.024193729231109302,True,True,True,1784.0,7431.75,5.0,3.31666666666667,-3.40643561164303,1.3132421404457288,True,10.75,True,True,4.0,1188.0,True,5.25,True,10.75,True,5.0,False,0.017932622791853033,True,13.233570707793403,True,True,596.0,2.779329014552745,13.233570707793403,True,13.23357070779366,1076218.0,,disabled,,42.0,0.0,12.0,7389.6,70.97254178426935,True,0.6095856546816311,3.0,True,"ES pullback from high 5.00 >= 5.00; ES recent high rejection distance 5.00 >= 5.00, minutes 3.32 <= 15.00; RSI slope -3.4064 <= -2.0000",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_wall_breakaway_long,charm_wall_breakaway_long,True,True,"charm-wall breakaway: price=7426.75, charmWall=7410.00, distance=16.75, breakoutConfirmed=True, negativeGamma=False, netCharm30m=-46431996",1.25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-26T14:49:57.1191920Z,4.880808,7423.0,7425.0,68.775,-0.02908033442,7425.0,2.0,7491.775,68.775,7425.0,2.0,0.9563388693,0.9524876488,2.0,True,allowed,target_2_upper_straddle,7491.775,50.0,True,allowed,,,,,,5.290793365692114,True,True,True,True,,,True,14,-346.8,146.2,455.6,00:12:00,50,True,3.0999999999994543,-9.199999999999818,11.483333333333333,6.233333333333333,False,True,0.23333333333333334,2.300000000000182,-9.199999999999818,3.0999999999994543,12.0,11.800000000000182,False,False,,,0.2627118644067294,0.19491525423730055,0.5999999999994543,14.0,0.5999999999994543,14.0,True,0.23333333333333334,0.9833333333333333,1.2333333333333334,1.2333333333333334,11.483333333333333,,,2.300000000000182,-6.199999999999818,3.0999999999994543,-9.199999999999818,3.0999999999994543,-9.199999999999818,3.0999999999994543,-9.199999999999818
